q_true,b_true,n,rep,seed,bins,method,q_hat,b_hat,success,at_bound,occupied_bins,max_abs_x,seconds,message
1.5,2.0,1000,0,20260926-0-0-0-0,20,pdf,1.5576067302411796,2.2646895543081946,True,False,20,7.100603614202807,0.04634199700012687,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
1.5,2.0,1000,0,20260926-0-0-0-0,20,qlog,1.58,1.957377945764533,True,False,20,7.100603614202807,0.031403029999864884,barrido q-log; q por deviance de bins
1.5,2.0,1000,0,20260926-0-0-0-0,30,pdf,1.5117760658146997,2.064593013173588,True,False,30,7.100603614202807,0.2516103049999856,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.5,2.0,1000,0,20260926-0-0-0-0,30,qlog,1.52,1.8320437315294056,True,False,30,7.100603614202807,0.02694492499995249,barrido q-log; q por deviance de bins
1.5,2.0,1000,0,20260926-0-0-0-0,40,pdf,1.535108547771641,2.1716803732182774,True,False,40,7.100603614202807,0.2530071449998559,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.5,2.0,1000,0,20260926-0-0-0-0,40,qlog,1.52,1.9296005921119597,True,False,40,7.100603614202807,0.048411798999950406,barrido q-log; q por deviance de bins
1.5,2.0,1000,0,20260926-0-0-0-0,50,pdf,1.5289911952461004,2.133552656391029,True,False,50,7.100603614202807,0.40072457100018255,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.5,2.0,1000,0,20260926-0-0-0-0,50,qlog,1.52,1.8236763303945596,True,False,50,7.100603614202807,0.029618204000144033,barrido q-log; q por deviance de bins
1.5,2.0,1000,0,20260926-0-0-0-0,70,pdf,1.5217144858705016,2.118653086667016,True,False,68,7.100603614202807,0.36656779999998435,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.5,2.0,1000,0,20260926-0-0-0-0,70,qlog,1.5,1.6854907117236444,True,False,68,7.100603614202807,0.03587115800019092,barrido q-log; q por deviance de bins
1.5,2.0,1000,0,20260926-0-0-0-0,100,pdf,1.5237701349914756,2.1233491141312055,True,False,98,7.100603614202807,0.5440673829998559,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.5,2.0,1000,0,20260926-0-0-0-0,100,qlog,1.5,1.6396610066961488,True,False,98,7.100603614202807,0.032590030000164916,barrido q-log; q por deviance de bins
1.5,2.0,1000,0,20260926-0-0-0-0,150,pdf,1.5209834419223651,2.1128562006414784,True,False,141,7.100603614202807,0.42823459200008074,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.5,2.0,1000,0,20260926-0-0-0-0,150,qlog,1.48,1.4752038046638583,True,False,141,7.100603614202807,0.05334124000000884,barrido q-log; q por deviance de bins
1.5,2.0,1000,0,20260926-0-0-0-0,200,pdf,1.5237956286159309,2.122211203499345,True,False,181,7.100603614202807,0.34481957399998464,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.5,2.0,1000,0,20260926-0-0-0-0,200,qlog,1.5,1.395126182056565,True,False,181,7.100603614202807,0.05196289799982878,barrido q-log; q por deviance de bins
1.5,2.0,1000,1,20260926-0-0-0-1,20,pdf,1.579349359730794,2.540330521672642,True,False,20,7.032960771322827,0.12892754900008185,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.5,2.0,1000,1,20260926-0-0-0-1,20,qlog,1.62,2.1245738209584406,True,False,20,7.032960771322827,0.051687050000055024,barrido q-log; q por deviance de bins
