q_true,b_true,n,rep,seed,bins,method,q_hat,b_hat,success,at_bound,occupied_bins,max_abs_x,seconds,message
1.5,2.0,1000,0,20260926-0-0-0-0,10,pdf,1.5746867625041352,2.325012794701801,True,False,10,7.100603614202807,0.03731094600016149,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.5,2.0,1000,0,20260926-0-0-0-0,10,qlog,1.84,2.15270058137944,True,False,10,7.100603614202807,0.027596409000125277,barrido q-log; q por deviance de bins
1.5,2.0,1000,0,20260926-0-0-0-0,20,pdf,1.5576067302411796,2.2646895543081946,True,False,20,7.100603614202807,0.047957660000065516,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
1.5,2.0,1000,0,20260926-0-0-0-0,20,qlog,1.58,1.957377945764533,True,False,20,7.100603614202807,0.028756685000189464,barrido q-log; q por deviance de bins
1.5,2.0,1000,0,20260926-0-0-0-0,30,pdf,1.5117760658146997,2.064593013173588,True,False,30,7.100603614202807,0.04382098399992174,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.5,2.0,1000,0,20260926-0-0-0-0,30,qlog,1.52,1.8320437315294056,True,False,30,7.100603614202807,0.030785384999944654,barrido q-log; q por deviance de bins
1.5,2.0,1000,0,20260926-0-0-0-0,40,pdf,1.535108547771641,2.1716803732182774,True,False,40,7.100603614202807,0.046666499999901134,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.5,2.0,1000,0,20260926-0-0-0-0,40,qlog,1.52,1.9296005921119597,True,False,40,7.100603614202807,0.02717949000043518,barrido q-log; q por deviance de bins
1.5,2.0,1000,0,20260926-0-0-0-0,50,pdf,1.5289911952461004,2.133552656391029,True,False,50,7.100603614202807,0.039491943000030005,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.5,2.0,1000,0,20260926-0-0-0-0,50,qlog,1.52,1.8236763303945596,True,False,50,7.100603614202807,0.035493828000198846,barrido q-log; q por deviance de bins
1.5,2.0,1000,0,20260926-0-0-0-0,60,pdf,1.5111978548844194,2.072247364945235,True,False,59,7.100603614202807,0.05491042899984677,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
1.5,2.0,1000,0,20260926-0-0-0-0,60,qlog,1.5,1.779235137761257,True,False,59,7.100603614202807,0.05646309200028554,barrido q-log; q por deviance de bins
1.5,2.0,1000,0,20260926-0-0-0-0,70,pdf,1.5217144858705016,2.118653086667016,True,False,68,7.100603614202807,0.047419296999578364,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.5,2.0,1000,0,20260926-0-0-0-0,70,qlog,1.5,1.6854907117236444,True,False,68,7.100603614202807,0.04806302400038476,barrido q-log; q por deviance de bins
1.5,2.0,1000,0,20260926-0-0-0-0,80,pdf,1.5239669567240075,2.125099462119757,True,False,78,7.100603614202807,0.06441478599981565,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.5,2.0,1000,0,20260926-0-0-0-0,80,qlog,1.52,1.7800547384021004,True,False,78,7.100603614202807,0.04150645200024883,barrido q-log; q por deviance de bins
1.5,2.0,1000,0,20260926-0-0-0-0,90,pdf,1.5170722296796264,2.095037091503709,True,False,88,7.100603614202807,0.04995775799989133,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.5,2.0,1000,0,20260926-0-0-0-0,90,qlog,1.5,1.761357440024782,True,False,88,7.100603614202807,0.0296578640000007,barrido q-log; q por deviance de bins
1.5,2.0,1000,0,20260926-0-0-0-0,100,pdf,1.5237701349914756,2.1233491141312055,True,False,98,7.100603614202807,0.06208066899989717,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.5,2.0,1000,0,20260926-0-0-0-0,100,qlog,1.5,1.6396610066961488,True,False,98,7.100603614202807,0.034045859000343626,barrido q-log; q por deviance de bins
1.5,2.0,1000,0,20260926-0-0-0-0,110,pdf,1.5216324634465148,2.116016660245917,True,False,106,7.100603614202807,0.06437126399987392,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.5,2.0,1000,0,20260926-0-0-0-0,110,qlog,1.52,1.737775188745776,True,False,106,7.100603614202807,0.035394257999996626,barrido q-log; q por deviance de bins
1.5,2.0,1000,0,20260926-0-0-0-0,120,pdf,1.5206987244765655,2.1121913397802325,True,False,115,7.100603614202807,0.052744838000307936,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.5,2.0,1000,0,20260926-0-0-0-0,120,qlog,1.5,1.6234001678786318,True,False,115,7.100603614202807,0.034601545999976224,barrido q-log; q por deviance de bins
1.5,2.0,1000,0,20260926-0-0-0-0,130,pdf,1.5172660817326213,2.098846000386889,True,False,123,7.100603614202807,0.07013640000013766,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.5,2.0,1000,0,20260926-0-0-0-0,130,qlog,1.48,1.5336416365951206,True,False,123,7.100603614202807,0.03377106200014168,barrido q-log; q por deviance de bins
1.5,2.0,1000,0,20260926-0-0-0-0,140,pdf,1.5213657563813565,2.1130045957431163,True,False,130,7.100603614202807,0.052975041000081546,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.5,2.0,1000,0,20260926-0-0-0-0,140,qlog,1.5,1.5403941751449466,True,False,130,7.100603614202807,0.03608756599987828,barrido q-log; q por deviance de bins
1.5,2.0,1000,0,20260926-0-0-0-0,150,pdf,1.5209834419223651,2.1128562006414784,True,False,141,7.100603614202807,0.06987924100030796,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.5,2.0,1000,0,20260926-0-0-0-0,150,qlog,1.48,1.4752038046638583,True,False,141,7.100603614202807,0.037052218000098947,barrido q-log; q por deviance de bins
1.5,2.0,1000,0,20260926-0-0-0-0,160,pdf,1.5207739633866728,2.11452467007448,True,False,148,7.100603614202807,0.06714436799984469,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.5,2.0,1000,0,20260926-0-0-0-0,160,qlog,1.52,1.6272494684463097,True,False,148,7.100603614202807,0.03651591300013024,barrido q-log; q por deviance de bins
1.5,2.0,1000,0,20260926-0-0-0-0,170,pdf,1.5170453155188814,2.098977328559525,True,False,154,7.100603614202807,0.05678685000020778,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.5,2.0,1000,0,20260926-0-0-0-0,170,qlog,1.5,1.3729907036811562,True,False,154,7.100603614202807,0.0545764240000608,barrido q-log; q por deviance de bins
1.5,2.0,1000,0,20260926-0-0-0-0,180,pdf,1.520977562492788,2.110585299135472,True,False,166,7.100603614202807,0.0717443439998533,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.5,2.0,1000,0,20260926-0-0-0-0,180,qlog,1.48,1.4171851567739087,True,False,166,7.100603614202807,0.05521549600007347,barrido q-log; q por deviance de bins
1.5,2.0,1000,0,20260926-0-0-0-0,190,pdf,1.5203972173657003,2.1088650150692145,True,False,173,7.100603614202807,0.07970782399979726,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.5,2.0,1000,0,20260926-0-0-0-0,190,qlog,1.48,1.2985942077952204,True,False,173,7.100603614202807,0.052226858000267384,barrido q-log; q por deviance de bins
1.5,2.0,1000,0,20260926-0-0-0-0,200,pdf,1.5237956286159309,2.122211203499345,True,False,181,7.100603614202807,0.07950888100003795,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.5,2.0,1000,0,20260926-0-0-0-0,200,qlog,1.5,1.395126182056565,True,False,181,7.100603614202807,0.03454150599964123,barrido q-log; q por deviance de bins
1.5,2.0,1000,1,20260926-0-0-0-1,10,pdf,1.5747455349288266,2.55699970325011,True,False,10,7.032960771322827,0.04440765300023486,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
1.5,2.0,1000,1,20260926-0-0-0-1,10,qlog,1.8599999999999999,2.1190030712294172,True,False,10,7.032960771322827,0.025289911999607284,barrido q-log; q por deviance de bins
1.5,2.0,1000,1,20260926-0-0-0-1,20,pdf,1.579349359730794,2.540330521672642,True,False,20,7.032960771322827,0.03425189199970191,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.5,2.0,1000,1,20260926-0-0-0-1,20,qlog,1.62,2.1245738209584406,True,False,20,7.032960771322827,0.04344365099996139,barrido q-log; q por deviance de bins
1.5,2.0,1000,1,20260926-0-0-0-1,30,pdf,1.5883564571130273,2.6049037328241984,True,False,30,7.032960771322827,0.053573395000057644,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.5,2.0,1000,1,20260926-0-0-0-1,30,qlog,1.6,2.180772565230109,True,False,30,7.032960771322827,0.03185665599994536,barrido q-log; q por deviance de bins
1.5,2.0,1000,1,20260926-0-0-0-1,40,pdf,1.5748181925942315,2.5412693187914273,True,False,40,7.032960771322827,0.038763121999636496,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
