q_true,b_true,mu_true,n,rep,method,q_hat,b_hat,success,at_bound,at_start,occupied_bins,objective,nfev,seconds,message
1.4,2.0,0.0,100,0,pdf,1.6185304694015759,1.0448358537310949,True,False,False,32,0.7083433377628918,39,0.009766289000253892,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
1.4,2.0,0.0,100,0,mle,1.1755179780025287,1.348320647878688,True,False,False,32,106.7219042922934,42,0.00535306399979163,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.4,2.0,0.0,100,0,qlog,1.01,0.5681261007167929,True,True,False,32,1.1430167031249652,39,0.005791240000689868,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
1.4,2.0,0.0,100,0,cdf,1.01,1.0389899119687924,True,True,False,32,0.0009978820409068385,45,0.025755292999747326,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
1.4,2.0,0.0,100,1,pdf,2.1077521464746267,5.285619610373856,True,False,False,33,0.565717953551021,42,0.0042484269997657975,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
1.4,2.0,0.0,100,1,mle,1.4838173980416887,2.0188562132141517,True,False,False,33,119.8352857031112,30,0.0031158419988059904,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
1.4,2.0,0.0,100,1,qlog,1.1718855477752201,0.592980704342275,True,False,False,33,1.2056681327267957,54,0.00938007100012328,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
1.4,2.0,0.0,100,1,cdf,1.6934687110528504,3.150156975573361,True,False,False,33,0.0002567101216122305,45,0.010525719999350258,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
1.4,2.0,0.0,100,2,pdf,1.3802599558711726,0.8693611102482695,True,False,False,33,0.5169658754384235,36,0.003205119999620365,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
1.4,2.0,0.0,100,2,mle,1.121770710952584,1.1216863642685346,True,False,False,33,111.21935902273103,48,0.0041068739992624614,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.4,2.0,0.0,100,2,qlog,1.01,0.5855910090382224,True,True,False,33,0.7310024797939372,39,0.004685162999521708,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
1.4,2.0,0.0,100,2,cdf,1.0329338146046356,0.9956042343614856,True,False,False,33,0.0004266031611585908,72,0.01775445800012676,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.4,2.0,0.0,100,3,pdf,1.9128914867628286,3.0078276662642933,True,False,False,25,0.7444342516152805,30,0.006069171000490314,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
1.4,2.0,0.0,100,3,mle,1.4490861562290955,2.2714837968105517,True,False,False,25,109.54839863752909,30,0.0024617109993414488,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.4,2.0,0.0,100,3,qlog,1.01,0.43407993343431595,False,True,False,25,2.0008870685033138,144,0.020182225000098697,ABNORMAL: 
1.4,2.0,0.0,100,3,cdf,1.4367780553112133,2.0498613455085617,True,False,False,25,0.0032790780745575996,15,0.003539708999596769,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
1.4,2.0,0.0,100,4,pdf,2.065457840304895,3.8643763653850765,True,False,False,29,1.0250001332774892,33,0.007263184999828809,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
1.4,2.0,0.0,100,4,mle,1.453564573918319,3.5225583406897782,True,False,False,29,88.16637574012876,36,0.00237426799867535,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
1.4,2.0,0.0,100,4,qlog,1.01,0.7390679358758302,True,True,False,29,1.8028940679451784,81,0.021933002000878332,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
1.4,2.0,0.0,100,4,cdf,1.1916553428505914,2.4024547163524175,True,False,False,29,0.0008100715393803122,39,0.01658030900034646,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
1.4,2.0,0.0,100,5,pdf,2.0446459884423533,5.016641027257881,True,False,False,33,0.5889484935685457,36,0.007380775999990874,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
1.4,2.0,0.0,100,5,mle,1.556056187442194,3.5542596382063554,True,False,False,33,101.33316501544041,36,0.005686046000846545,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
1.4,2.0,0.0,100,5,qlog,1.2712969651373758,0.9692207942044693,True,False,False,33,1.3028563725247841,60,0.01327154000136943,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
1.4,2.0,0.0,100,5,cdf,1.6470355503691156,4.321447967028841,True,False,False,33,0.0001493172780599113,54,0.018604528000651044,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
1.4,2.0,0.0,100,6,pdf,2.2392180300336166,8.063193288930396,True,False,False,30,0.7248037319421737,42,0.004504452999753994,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
1.4,2.0,0.0,100,6,mle,1.409318251032865,1.6326801821978003,True,False,False,30,121.25663095215147,42,0.006968264999159146,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
1.4,2.0,0.0,100,6,qlog,1.01,0.42293738323381197,True,True,False,30,1.360450345340819,72,0.008112314999380033,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
1.4,2.0,0.0,100,6,cdf,1.7013240575086264,2.8426490715008303,True,False,False,30,0.0014221354131997276,42,0.011419923001085408,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
1.4,2.0,0.0,100,7,pdf,2.1472391602535073,9.278212744349672,True,False,False,31,0.554264009708582,48,0.006372021000061068,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
1.4,2.0,0.0,100,7,mle,1.4466842226281822,2.952902833386378,True,False,False,31,96.13387487219538,39,0.005616456999632646,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
1.4,2.0,0.0,100,7,qlog,1.01,0.45923983896242726,True,True,False,31,2.15771869296097,144,0.01828274899889948,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
1.4,2.0,0.0,100,7,cdf,1.7649961066589888,5.805326609996223,True,False,False,31,0.0005981691353189216,60,0.017552954001075705,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
1.4,2.0,0.0,100,8,pdf,1.7018125079189361,1.7018504351293144,True,False,False,30,0.47403125006845037,30,0.0043244010012131184,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
1.4,2.0,0.0,100,8,mle,1.3415321589869067,1.4950986682510468,True,False,False,30,117.9861856407705,39,0.0030842500000289874,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
1.4,2.0,0.0,100,8,qlog,1.01,0.39519705533198374,True,True,False,30,1.325785136293441,51,0.0233252790003462,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
1.4,2.0,0.0,100,8,cdf,1.4576576014983578,1.798941487445936,True,False,False,30,0.0007105079408753387,33,0.05528125400087447,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
1.4,2.0,0.0,100,9,pdf,1.01,0.5120364516869603,True,True,False,39,0.6362579785580386,45,0.008241944000474177,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
1.4,2.0,0.0,100,9,mle,1.01,1.1485015785168224,True,True,False,39,100.99203618023472,57,0.006314330999884987,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.4,2.0,0.0,100,9,qlog,1.01,0.8313988087361129,True,True,False,39,0.8577643515403682,24,0.0037507460001506843,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
1.4,2.0,0.0,100,9,cdf,1.370178969637273,1.5794498457985517,True,False,False,39,0.0022493648561514013,45,0.029326120999030536,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
1.4,2.0,0.0,100,10,pdf,1.8998248587476074,3.0141810310913013,True,False,False,32,0.5510930239440466,33,0.05016269299994747,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
1.4,2.0,0.0,100,10,mle,1.443531418493458,2.000257862341184,True,False,False,32,115.22130137253029,33,0.0050469630004954524,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
1.4,2.0,0.0,100,10,qlog,1.01,0.4703498175080144,True,True,False,32,1.2182586221233198,45,0.015854146999117802,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
1.4,2.0,0.0,100,10,cdf,1.518562203054173,2.3197330911033958,True,False,False,32,0.00028632255426622616,36,0.015226464000079432,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
1.4,2.0,0.0,100,11,pdf,1.3969368372287256,0.558816896268004,True,False,False,37,0.5621929150321743,48,0.007669752998481272,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
1.4,2.0,0.0,100,11,mle,1.01,0.6933585304069123,True,True,False,37,126.28841757960873,54,0.003942690998883336,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.4,2.0,0.0,100,11,qlog,1.01,0.4657348450401248,True,True,False,37,0.8418538760202279,36,0.0038484569995489437,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
1.4,2.0,0.0,100,11,cdf,1.01,0.6337106282987847,True,True,False,37,0.0024731070522392303,48,0.01314244700006384,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
1.4,2.0,0.0,100,12,pdf,2.118466501942239,3.250483006719582,True,False,False,31,0.7357383055923911,42,0.030670890000692452,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
1.4,2.0,0.0,100,12,mle,1.5454317850475225,1.8007264840997008,True,False,False,31,133.8350209416991,36,0.0029313750001165317,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
1.4,2.0,0.0,100,12,qlog,1.01,0.3243292336686513,True,True,False,31,1.6453759840178988,96,0.01730516299903684,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
1.4,2.0,0.0,100,12,cdf,1.6785016870761815,2.383889073274243,True,False,False,31,0.0003981749660477051,30,0.011580878001041128,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
1.4,2.0,0.0,100,13,pdf,1.4208189495843495,0.5523904477255748,True,False,False,35,0.8217540251856241,48,0.005532844001209014,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
1.4,2.0,0.0,100,13,mle,1.122370678791612,1.2462355437446941,True,False,False,35,106.00566671419836,42,0.004290851999030565,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
1.4,2.0,0.0,100,13,qlog,1.01,0.6724892597852058,True,True,False,35,1.0170742970919944,39,0.008796858001005603,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
1.4,2.0,0.0,100,13,cdf,1.01,1.0334181861870397,True,True,False,35,0.0011043879033590977,48,0.02015399000083562,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
1.4,2.0,0.0,100,14,pdf,1.7955982514892879,1.411288643369508,True,False,False,29,0.8607277625351067,33,0.003445905000262428,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
1.4,2.0,0.0,100,14,mle,1.3879232616777741,1.813057513179094,True,False,False,29,113.5280401209553,36,0.004774053999426542,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
1.4,2.0,0.0,100,14,qlog,1.01,0.44176756806826006,True,True,False,29,1.5285127029170074,66,0.009013504999529687,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.4,2.0,0.0,100,14,cdf,1.1975661394168253,1.3430687510834658,True,False,False,29,0.0015154914097537376,42,0.014640370998677099,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
1.4,2.0,0.0,100,15,pdf,1.3653741779423005,0.7903191467453241,True,False,False,38,0.47424419995626693,39,0.008713416998944012,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
1.4,2.0,0.0,100,15,mle,1.01,0.9423534729299066,True,True,False,38,110.93694485168001,57,0.00801369600048929,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.4,2.0,0.0,100,15,qlog,1.01,0.6439461443255624,True,True,False,38,0.6719304934374989,27,0.009517043999949237,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
